BC1425; Algebra Linear; A; Noturno; Sao Bernardo do Campo; Segunda-feira; 21:00; 23:00; A2-S201-SB; semanal; Teorica; Bruno Learth Soares; Bacharelado em Ciencia da Computacao;
BC1425; Algebra Linear; A; Noturno; Sao Bernardo do Campo; Quarta-feira; 19:00; 21:00; A2-S201-SB; semanal; Teorica; Bruno Learth Soares; Bacharelado em Ciencia da Computacao;
BC1425; Algebra Linear; A; Noturno; Sao Bernardo do Campo; Sexta-feira; 21:00; 23:00; A2-S201-SB; semanal; Teorica; Bruno Learth Soares; Bacharelado em Ciencia da Computacao;
BC0005; Bases Computacionais da Ciencia; A; Noturno; Sao Bernardo do Campo; Segunda-feira; 17:00; 19:00; A1-L001-SB; semanal; Pratica; Wagner Tanaka Botelho; Bacharelado em Ciencia e Tecnologia;
BC0005; Bases Computacionais da Ciencia; B; Noturno; Sao Bernardo do Campo; Quarta-feira; 17:00; 19:00; A1-L001-SB; semanal; Pratica; Wagner Tanaka Botelho; Bacharelado em Ciencia e Tecnologia;
BC0004; Bases Epistemologicas da Ciencia Moderna; A1; Noturno; Sao Bernardo do Campo; Sexta-feira; 19:00; 22:00; A1-S203-SB; semanal; Teorica; Monique Hulshof; Bacharelado em Ciencia e Tecnologia;
BC0004; Bases Epistemologicas da Ciencia Moderna; A2; Noturno; Sao Bernardo do Campo; Sexta-feira; 19:00; 22:00; A1-S204-SB; semanal; Teorica; Anderson de Araujo; Bacharelado em Ciencia e Tecnologia;
BC0004; Bases Epistemologicas da Ciencia Moderna; B; Noturno; Sao Bernardo do Campo; Terca-feira; 19:00; 21:00; A2-S101-SB; semanal; Teorica; Luciana Zaterka; Bacharelado em Ciencia e Tecnologia;
BC0004; Bases Epistemologicas da Ciencia Moderna; B; Noturno; Sao Bernardo do Campo; Quinta-feira; 19:00; 21:00; A2-S101-SB; quinzenal I; Teorica; Luciana Zaterka; Bacharelado em Ciencia e Tecnologia;
BC0003; Bases Matematicas; A; Noturno; Sao Bernardo do Campo; Segunda-feira; 19:00; 21:00; A1-S201-SB; semanal; Teorica; Fabiano Gustavo Braga Brito; Bacharelado em Ciencia e Tecnologia;
BC0003; Bases Matematicas; A; Noturno; Sao Bernardo do Campo; Quarta-feira; 21:00; 23:00; A1-S201-SB; semanal; Teorica; Fabiano Gustavo Braga Brito; Bacharelado em Ciencia e Tecnologia;
BC0603; Ciencia Tecnologia e Sociedade; A; Noturno; Sao Bernardo do Campo; Terca-feira; 19:00; 21:00; A1-S202-SB; semanal; Teorica; Adalberto Mantovani Martiniano de Azevedo; Bacharelado em Ciencia e Tecnologia;
BC0603; Ciencia Tecnologia e Sociedade; A; Noturno; Sao Bernardo do Campo; Quinta-feira; 19:00; 21:00; A2-S102-SB; quinzenal I; Teorica; Adalberto Mantovani Martiniano de Azevedo; Bacharelado em Ciencia e Tecnologia;
BC0603; Ciencia Tecnologia e Sociedade; B; Noturno; Sao Bernardo do Campo; Terca-feira; 21:00; 23:00; A1-S201-SB; semanal; Teorica; Elias David Morales Martinez; Bacharelado em Ciencia e Tecnologia;
BC0603; Ciencia Tecnologia e Sociedade; B; Noturno; Sao Bernardo do Campo; Quinta-feira; 21:00; 23:00; A2-S101-SB; quinzenal I; Teorica; Elias David Morales Martinez; Bacharelado em Ciencia e Tecnologia;
BC0207; Energia: Origens Conversao e Uso; A; Noturno; Sao Bernardo do Campo; Terca-feira; 21:00; 23:00; A2-S104-SB; semanal; Teorica; Flavia Camargo Alves Figueiredo; Bacharelado em Ciencia e Tecnologia;
BC0102; Estrutura da Materia; A; Noturno; Sao Bernardo do Campo; Terca-feira; 19:30; 21:00; A1-S203-SB; semanal; Teorica; Gustavo Morari do Nascimento; Bacharelado em Ciencia e Tecnologia;
BC0102; Estrutura da Materia; A; Noturno; Sao Bernardo do Campo; Quinta-feira; 21:00; 22:30; A1-S203-SB; semanal; Teorica; Gustavo Morari do Nascimento; Bacharelado em Ciencia e Tecnologia;
BC0102; Estrutura da Materia; B; Noturno; Sao Bernardo do Campo; Terca-feira; 21:00; 22:30; A1-S203-SB; semanal; Teorica; Wagner Alves Carvalho; Bacharelado em Ciencia e Tecnologia;
BC0102; Estrutura da Materia; B; Noturno; Sao Bernardo do Campo; Quinta-feira; 19:30; 21:00; A1-S203-SB; semanal; Teorica; Wagner Alves Carvalho; Bacharelado em Ciencia e Tecnologia;
BC0102; Estrutura da Materia; C; Noturno; Sao Bernardo do Campo; Terca-feira; 19:30; 21:00; A1-S204-SB; semanal; Teorica; Wagner Alves Carvalho; Bacharelado em Ciencia e Tecnologia;
BC0102; Estrutura da Materia; C; Noturno; Sao Bernardo do Campo; Quinta-feira; 21:00; 22:30; A1-S204-SB; semanal; Teorica; Wagner Alves Carvalho; Bacharelado em Ciencia e Tecnologia;
BC0404; Geometria Analitica; A; Noturno; Sao Bernardo do Campo; Segunda-feira; 19:00; 21:00; A1-S206-SB; semanal; Teorica; Bruno Learth Soares; Bacharelado em Ciencia e Tecnologia;
BC0404; Geometria Analitica; A; Noturno; Sao Bernardo do Campo; Quarta-feira; 21:00; 23:00; A1-S206-SB; quinzenal I; Teorica; Bruno Learth Soares; Bacharelado em Ciencia e Tecnologia;
BC0304; Origem da Vida e Diversidade dos Seres Vivos; A; Noturno; Sao Bernardo do Campo; Quarta-feira; 19:00; 21:00; A2-S104-SB; quinzenal I; Teorica; Arnaldo Rodrigues dos Santos Junior; Bacharelado em Ciencia e Tecnologia;
BC0304; Origem da Vida e Diversidade dos Seres Vivos; A; Noturno; Sao Bernardo do Campo; Sexta-feira; 19:00; 21:00; A2-S104-SB; semanal; Teorica; Arnaldo Rodrigues dos Santos Junior; Bacharelado em Ciencia e Tecnologia;
BC0306; Transformacoes nos Seres Vivos e Ambiente; B; Noturno; Sao Bernardo do Campo; Sexta-feira; 19:00; 22:00; A1-S101-SB; semanal; Teorica; Katia Canil; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A1; Noturno; Sao Bernardo do Campo; Quarta-feira; 19:00; 21:00; A2-S101-SB; quinzenal II; Teorica; Fernando Carlos Giacomelli; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A1; Noturno; Sao Bernardo do Campo; Sexta-feira; 21:00; 23:00; A2-S101-SB; semanal; Teorica; Fernando Carlos Giacomelli; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A1; Noturno; Sao Bernardo do Campo; Sexta-feira; 19:00; 21:00; A1-L301-SB; semanal; Pratica; Luiz Francisco Monteiro Leite Ciscato; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A2; Noturno; Sao Bernardo do Campo; Quarta-feira; 19:00; 21:00; A2-S101-SB; quinzenal II; Teorica; Fernando Carlos Giacomelli; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A2; Noturno; Sao Bernardo do Campo; Sexta-feira; 21:00; 23:00; A2-S101-SB; semanal; Teorica; Fernando Carlos Giacomelli; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A2; Noturno; Sao Bernardo do Campo; Sexta-feira; 19:00; 21:00; A1-L302-SB; semanal; Pratica; Leonardo Jose Steil; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A3; Noturno; Sao Bernardo do Campo; Quarta-feira; 19:00; 21:00; A2-S101-SB; quinzenal II; Teorica; Fernando Carlos Giacomelli; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A3; Noturno; Sao Bernardo do Campo; Sexta-feira; 21:00; 23:00; A2-S101-SB; semanal; Teorica; Fernando Carlos Giacomelli; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; A3; Noturno; Sao Bernardo do Campo; Sexta-feira; 19:00; 21:00; A1-L305-SB; semanal; Pratica; Heloisa Franca Maltez ; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; B1; Noturno; Sao Bernardo do Campo; Quarta-feira; 21:00; 23:00; A2-S102-SB; quinzenal II; Teorica; Fernando Carlos Giacomelli; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; B1; Noturno; Sao Bernardo do Campo; Sexta-feira; 19:00; 21:00; A2-S102-SB; semanal; Teorica; Fernando Carlos Giacomelli; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; B1; Noturno; Sao Bernardo do Campo; Sexta-feira; 21:00; 23:00; A1-L301-SB; semanal; Pratica; Luiz Francisco Monteiro Leite Ciscato; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; B3; Noturno; Sao Bernardo do Campo; Quarta-feira; 21:00; 23:00; A2-S102-SB; quinzenal II; Teorica; Fernando Carlos Giacomelli; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; B3; Noturno; Sao Bernardo do Campo; Sexta-feira; 19:00; 21:00; A2-S102-SB; semanal; Teorica; Fernando Carlos Giacomelli; Bacharelado em Ciencia e Tecnologia;
BC0307; Transformacoes Quimicas; B3; Noturno; Sao Bernardo do Campo; Sexta-feira; 21:00; 23:00; A1-L305-SB; semanal; Pratica; Heloisa Franca Maltez; Bacharelado em Ciencia e Tecnologia;
