Codigo; Disciplina; Creditos; Recomendacao1; Recomendacao2; Recomendacao3; Recomendacao4; Tipo; Quadrimestre;
BIS0005-15; Bases Computacionais da Ciencia; 2; ; ; ; ; Obrigatoria; 1;
BCS0001-15; Base Experimental das Ciencias Naturais; 3; ; ; ; ; Obrigatoria; 1;
BIK0102-15; Estrutura da Materia; 3; ; ; ; ; Obrigatoria; 1;
BIS0003-15; Bases Matematicas; 4; ; ; ; ; Obrigatoria; 1;
BIJ0207-15; Bases Conceituais da Energia; 2; ; ; ; ; Obrigatoria; 1;
BIL0304-15; Evolucao e Diversificacao da Vida na Terra; 3; ; ; ; ; Obrigatoria; 1;
BCM0504-15; Natureza da Informacao; 3; Bases Computacionais da Ciencia; ; ; ; Obrigatoria; 2;
BCN0404-15; Geometria Analitica; 3; Bases Matematicas; ; ; ; Obrigatoria; 2;
BCN0402-15; Funcoes de uma Variavel; 4; Bases Matematicas; ; ; ; Obrigatoria; 2;
BCL0306-15; Biodiversidade: Interacoes entre organismos e ambiente; 3; ; ; ; ; Obrigatoria; 2;
BCM0505-15; Processamento da Informacao; 5; Bases Computacionais da Ciencia; ; ; ; Obrigatoria; 3;
BCL0307-15; Transformacoes Quimicas; 5; Estrutura da Materia; ; ; ; Obrigatoria; 3;
BIR0004-15; Bases Epistemologicas da Ciencia Moderna; 3; ; ; ; ; Obrigatoria; 4;
BCL0308-15; "Bioquimica: estrutura;  propriedade e funcoes de biomoleculas"; 5; Estrutura da Materia; Transformacoes Quimicas; ; ; Obrigatoria; 5;
BIR0603-15; "Ciencia;  Tecnologia e Sociedade"; 3; ; ; ; ; Obrigatoria; 6;
